iteration,particle,kge_calibration,kge_validation,log_alpha_0_1,n_0_1,log_Ks_0_1,log_alpha_0_2,n_0_2,log_Ks_0_2,log10_a_0,b_0,frac_to_GW_0,field_capacity_psi_0,spf_factor_0,theta_e_1_0
1,0,-0.7296304121183326,-10.0,-1.6989700043360187,1.41,-0.3467874862246563,-1.7212463990471711,1.31,-0.585026652029182,-4.0,3.0,0.25,340.9,0.9,0.45
1,1,0.490891984890454,-10.0,-0.670229436798313,1.4404314391429869,-2.9090501967573963,-3.2663819605862647,1.6223996410598849,-0.8514614102065732,-4.976384869505189,1.4632334095882291,0.611830524143435,78.3519917195005,0.3629301836816964,0.4099085529881074
2,0,-0.3416470699386307,-10.0,-0.9456665541904632,1.579072659474947,-3.8227298337086815,-3.446740225862493,1.6276537416348758,-1.3141722331486427,-5.432485387850994,1.2038411267176448,0.3162259945736698,282.0696360837246,0.7858993704542837,0.4558106864410123
2,1,0.4011443444001588,-10.0,-0.7018590481620471,1.542068151783457,-3.233402512026368,-3.2561331649284644,1.6553361934023163,-1.3412949644689758,-4.840878356109377,1.1672981774841542,0.5335554690234378,117.9436961052445,0.438362573039775,0.4265620097863963
final,-1,0.49089198489045405,-0.48141366850156,-0.670229436798313,1.4404314391429869,-2.9090501967573963,-3.2663819605862647,1.6223996410598847,-0.8514614102065732,-4.976384869505189,1.4632334095882291,0.611830524143435,78.3519917195005,0.3629301836816964,0.40990855298810747
