iteration,particle,b,satdk,satpsi,maxsmc,max_gw_storage,Cgw,expon,Kn,Klf,refkdt,slope,wltsmc,alpha_fc,Kinf_nash_surface,kge_calibration,kge_validation
1,0,5.721492290496826,-5.90775506380858,0.22588072100299764,0.5222220254753936,0.226396899066,-5.610287446660049,1.0,0.03,0.01,3.0,0.2659863496033251,0.06599999964237213,0.33,0.002,-0.1108652214023984,-10.0
1,1,3.989239780523788,-8.380346298045902,0.30272103174474,0.4125354220216525,0.092069553542002,-4.394104647440237,5.282970263056656,0.13949386065204183,0.29214464853521815,1.5288111888453977,0.45606998421703593,0.10835428267223589,0.2797064039425238,0.0030569377536544466,-1.1647196989087303,-10.0
2,0,5.22602612784883,-5.387034804749332,0.2674308359814203,0.529227054097139,0.2,-5.788719232035871,1.0,0.09591170623948833,0.028200702113777586,3.146066949612824,0.17969155857656954,0.07767256037007607,0.3838557078096683,0.001792884159688359,-0.10122102429372526,-10.0
2,1,5.162253256897564,-7.6982740727867345,0.2378875665263997,0.4940389825802603,0.2,-4.868628526774485,5.1013387262509555,0.07786149529852007,0.0,2.48499411240856,0.2694095633887555,0.07549613294575093,0.25791176863775744,0.002375638763626031,-0.6270776489758276,-10.0
FINAL,BEST,5.22602612784883,-5.387034804749332,0.2674308359814203,0.529227054097139,0.2,-5.788719232035871,1.0,0.09591170623948833,0.028200702113777586,3.146066949612824,0.17969155857656954,0.07767256037007607,0.3838557078096683,0.001792884159688359,-0.10122102429372526,-0.2684253714565332
