iteration,particle,b,satdk,satpsi,maxsmc,max_gw_storage,Cgw,expon,Kn,Klf,refkdt,slope,wltsmc,alpha_fc,Kinf_nash_surface,kge_calibration,kge_validation
1,0,5.226034164428711,-7.675722634459559,0.0007465705772210975,0.3650012425051292,0.020048408508,-5.610287446660049,4.0,0.03,0.01,3.0,0.010522633773579754,0.06553355182687613,0.33,0.002,-7.0764730349895455,-10.0
1,1,3.989239780523788,-8.380346298045902,0.30272103174474,0.4125354220216525,0.092069553542002,-4.394104647440237,5.282970263056656,0.13949386065204183,0.29214464853521815,1.5288111888453977,0.45606998421703593,0.10835428267223589,0.2797064039425238,0.0030569377536544466,-8.656027689541466,-10.0
2,0,4.730568001780715,-7.155002375400311,0.042296685555643754,0.37200627112687457,0.01,-5.788719232035871,3.4431853513319313,0.09591170623948833,0.028200702113777586,3.146066949612824,0.0,0.07720611255458007,0.3838557078096683,0.001792884159688359,-5.248367388412711,-10.0
2,1,4.931135179361234,-8.560644424576498,0.0,0.3436830553277475,0.01,-4.868628526774485,5.639512832973313,0.07786149529852007,0.0,2.48499411240856,0.0,0.07515063812991235,0.25791176863775744,0.002375638763626031,-8.656016921624422,-10.0
FINAL,BEST,4.730568001780715,-7.155002375400311,0.042296685555643754,0.37200627112687457,0.01,-5.788719232035871,3.4431853513319313,0.09591170623948833,0.028200702113777586,3.146066949612824,0.0,0.07720611255458007,0.3838557078096683,0.001792884159688359,-5.248367388412711,-1.264751167747979
