iteration,particle,kge_calibration,kge_validation,log_alpha_0_1,n_0_1,log_Ks_0_1,log_alpha_0_2,n_0_2,log_Ks_0_2,log10_a_0,b_0,frac_to_GW_0,field_capacity_psi_0,spf_factor_0,theta_e_1_0
1,0,0.09909554283927,-10.0,-1.6989700043360187,1.41,-0.3467874862246563,-1.7212463990471711,1.31,-0.585026652029182,-4.0,3.0,0.25,340.9,0.9,0.45
1,1,-2.286695692448821,-10.0,-0.670229436798313,1.4404314391429869,-2.9090501967573963,-3.2663819605862647,1.6223996410598849,-0.8514614102065732,-4.976384869505189,1.4632334095882291,0.611830524143435,78.3519917195005,0.3629301836816964,0.4099085529881074
2,0,-1.5601439171561011,-10.0,-1.7893011187659178,1.570634578804494,-0.0962340290683387,-1.6502122904253047,1.1874050434536845,-0.9565525700660832,-4.556814648668069,3.328899414135047,0.2681970619733548,359.2520013616112,0.82233468807592,0.4753751320167477
2,1,-4.24627976128222,-10.0,-0.7103802870176638,1.504844654533242,-0.5166711913159157,-1.5665108149929117,1.2939193242050833,-1.3117028611503234,-4.315877585729203,1.4343937267951326,0.0651097215615972,363.4122187505568,0.7049355851813277,0.4303842291353795
final,-1,0.09909554283927002,0.5547906881236412,-1.6989700043360187,1.41,-0.3467874862246563,-1.7212463990471711,1.31,-0.585026652029182,-4.0,3.0,0.25,340.9,0.9,0.45
